split,policy,n_nondominated_fold_points
able_to_amputee,CD-margin tau=0.00,1
able_to_amputee,CD-margin tau=0.01,1
able_to_amputee,CD-margin tau=0.02,1
able_to_amputee,CD-margin tau=0.05,1
able_to_amputee,CD-margin tau=0.10,1
able_to_amputee,CD-margin tau=0.20,1
able_to_amputee,CD-margin tau=0.50,1
able_to_amputee,CD-margin tau=1.00,1
able_to_amputee,ConfGate dev cdc<=0.05,1
able_to_amputee,ConfGate dev intervention<=0.10,1
able_to_amputee,ConfGate dev intervention<=0.25,1
all_subject_kfold,CD-margin tau=0.00,5
all_subject_kfold,CD-margin tau=0.01,5
all_subject_kfold,CD-margin tau=0.02,5
all_subject_kfold,CD-margin tau=0.05,5
all_subject_kfold,CD-margin tau=0.10,5
all_subject_kfold,CD-margin tau=0.20,4
all_subject_kfold,CD-margin tau=0.50,3
all_subject_kfold,CD-margin tau=1.00,2
all_subject_kfold,ConfGate dev cdc<=0.02,4
all_subject_kfold,ConfGate dev cdc<=0.05,3
all_subject_kfold,ConfGate dev intervention<=0.10,5
all_subject_kfold,ConfGate dev intervention<=0.25,5
amputee_loso,CD-margin tau=0.00,15
amputee_loso,CD-margin tau=0.01,14
amputee_loso,CD-margin tau=0.02,14
amputee_loso,CD-margin tau=0.05,14
amputee_loso,CD-margin tau=0.10,14
amputee_loso,CD-margin tau=0.20,12
amputee_loso,CD-margin tau=0.50,11
amputee_loso,CD-margin tau=1.00,11
amputee_loso,ConfGate dev cdc<=0.02,14
amputee_loso,ConfGate dev cdc<=0.05,14
amputee_loso,ConfGate dev intervention<=0.10,14
amputee_loso,ConfGate dev intervention<=0.25,14
